dataset,model_type,size,seed,measure,threshold,objective,solution
GPQA_NOCHUNK,qwen4b,large,20,correlation,p90,2,"[1, 27]"
MMLU-Pro,e5,small,10,cosine,p20,1,[5]
MMLU-Pro,gist,small,50,correlation,p20,2,"[1, 798]"
Omni-MATH,gist,small,50,correlation,p95,22,"[68, 157, 279, 346, 449, 553, 580, 789, 0, 0, 4017, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
IFEval_CHUNKED,qwen8b,large,20,correlation,p50,1,[19]
MMLU-Pro,gist,small,30,correlation,p10,2,"[1, 798]"
IFEval_NOCHUNK,qwen4b,large,40,correlation,p80,1,[185]
GPQA_CHUNKED,nemotron,large,40,correlation,p95,1,[358]
GPQA_CHUNKED,nemotron,large,10,correlation,p50,1,[244]
IFEval_NOCHUNK,qwen8b,large,30,correlation,p80,1,[19]
IFEval_CHUNKED,nemotron,large,50,euclidean,p20,1,[9]
MMLU-Pro,qwen8b,large,50,cosine,p50,1,[829]
GPQA_CHUNKED,nemotron,large,20,euclidean,p95,1,[358]
IFEval_NOCHUNK,qwen4b,large,50,correlation,p90,1,[185]
GPQA_NOCHUNK,nemotron,large,10,euclidean,p80,2,"[257, 404]"
Omni-MATH_CHUNKED,qwen8b,large,30,euclidean,p95,1,[281]
Omni-MATH,bge,small,40,cosine,p90,3,"[134, 306, 772]"
MMLU-Pro,nemotron,large,30,correlation,p50,1,[8]
MMLU-Pro,nemotron,large,20,euclidean,p90,1,[739]
MMLU-Pro,gist,small,20,euclidean,p80,5,"[140, 423, 545, 799, 0]"
MMLU-Pro,gist,small,30,correlation,p50,2,"[1, 709]"
Omni-MATH_NOCHUNK,nemotron,large,50,euclidean,p90,1,[906]
Omni-MATH_CHUNKED,qwen8b,large,50,euclidean,p80,1,[281]
GPQA_CHUNKED,qwen8b,large,10,euclidean,p20,1,[20]
MMLU-Pro,gist,small,30,cosine,p80,5,"[140, 799, 506, 602, 58]"
Omni-MATH_NOCHUNK,qwen4b,large,40,cosine,p95,2,"[296, 648]"
MMLU-Pro,qwen4b,large,40,cosine,p20,1,[13]
GPQA_NOCHUNK,qwen4b,large,10,correlation,p95,2,"[1, 343]"
MMLU-Pro,bge,small,50,euclidean,p90,7,"[602, 884, 766, 722, 575, 884, 49]"
IFEval,e5,small,50,correlation,p20,1,[185]
MMLU-Pro,gist,small,20,correlation,p90,15,"[140, 1, 602, 709, 423, 128, 766, 563, 335, 745, 750, 0, 0, 0, 1873]"
Omni-MATH_NOCHUNK,qwen8b,large,40,cosine,p90,1,[281]
GPQA_CHUNKED,qwen8b,large,40,euclidean,p50,1,[27]
IFEval_CHUNKED,qwen4b,large,30,euclidean,p90,1,[185]
GPQA_CHUNKED,nemotron,large,20,correlation,p95,1,[358]
Omni-MATH_CHUNKED,qwen8b,large,40,correlation,p95,2,"[1, 281]"
MMLU-Pro,e5,small,20,cosine,p90,3,"[64, 572, 765]"
Omni-MATH,bge,small,40,euclidean,p50,2,"[1, 772]"
Omni-MATH_NOCHUNK,qwen4b,large,20,euclidean,p80,1,[149]
GPQA_CHUNKED,qwen4b,large,10,euclidean,p50,1,[85]
GPQA_CHUNKED,nemotron,large,20,correlation,p80,1,[358]
IFEval,gist,small,30,euclidean,p80,2,"[20, 359]"
IFEval_NOCHUNK,qwen4b,large,30,correlation,p95,1,[227]
MMLU-Pro,qwen4b,large,50,euclidean,p50,1,[13]
IFEval_CHUNKED,qwen8b,large,50,euclidean,p95,1,[19]
MMLU-Pro,e5,small,30,cosine,p20,1,[5]
Omni-MATH_NOCHUNK,qwen4b,large,40,euclidean,p95,2,"[5, 24]"
GPQA_CHUNKED,qwen4b,large,20,correlation,p20,1,[182]
MMLU-Pro,qwen8b,large,50,correlation,p80,2,"[2, 626]"
Omni-MATH,e5,small,40,cosine,p80,2,"[3, 187]"
MMLU-Pro,bge,small,50,correlation,p95,41,"[602, 996, 140, 205, 739, 690, 366, 766, 741, 843, 722, 830, 884, 26, 648, 820, 22, 69, 575, 172, 420, 705, 323, 314, 526, 494, 963, 546, 778, 288, 241, 718, 670, 763, 279, 401, 474, 603, 104, 619, 655]"
IFEval,e5,small,40,cosine,p50,1,[359]
IFEval_NOCHUNK,nemotron,large,30,correlation,p90,6,"[459, 316, 275, 517, 109, 185]"
IFEval_NOCHUNK,qwen4b,large,30,correlation,p10,1,[1]
Omni-MATH,bge,small,40,euclidean,p80,2,"[3, 772]"
IFEval_CHUNKED,qwen8b,large,30,cosine,p50,1,[19]
IFEval,bge,small,30,euclidean,p95,5,"[359, 222, 494, 185, 364]"
GPQA,e5,small,20,euclidean,p10,1,[18]
GPQA_NOCHUNK,nemotron,large,30,correlation,p80,2,"[1, 257]"
Omni-MATH_CHUNKED,qwen4b,large,10,euclidean,p95,2,"[5, 24]"
Omni-MATH,bge,small,10,cosine,p50,2,"[1, 772]"
Omni-MATH_CHUNKED,qwen4b,large,20,cosine,p20,1,[7]
IFEval,gist,small,10,cosine,p10,1,[69]
IFEval_NOCHUNK,qwen8b,large,20,correlation,p20,1,[1]
Omni-MATH,bge,small,50,correlation,p50,2,"[1, 772]"
GPQA_CHUNKED,nemotron,large,30,euclidean,p80,1,[358]
GPQA,e5,small,50,euclidean,p50,1,[429]
IFEval_NOCHUNK,qwen8b,large,20,correlation,p50,1,[19]
MMLU-Pro,gist,small,10,correlation,p20,2,"[1, 798]"
GPQA_CHUNKED,qwen8b,large,40,euclidean,p80,1,[27]
GPQA_NOCHUNK,nemotron,large,30,cosine,p10,1,[1]
MMLU-Pro,bge,small,40,correlation,p95,41,"[602, 996, 140, 205, 739, 690, 366, 766, 741, 843, 722, 830, 884, 26, 648, 820, 22, 69, 575, 172, 420, 705, 323, 314, 526, 494, 963, 546, 778, 288, 241, 718, 670, 763, 279, 401, 474, 603, 104, 619, 655]"
IFEval,e5,small,50,euclidean,p80,2,"[151, 494]"
GPQA_NOCHUNK,nemotron,large,50,cosine,p20,1,[1]
MMLU-Pro,qwen4b,large,30,cosine,p80,2,"[8, 829]"
IFEval,e5,small,10,euclidean,p10,1,[37]
IFEval_CHUNKED,qwen8b,large,10,correlation,p80,1,[19]
GPQA_CHUNKED,nemotron,large,40,correlation,p80,1,[358]
IFEval,e5,small,20,cosine,p95,2,"[494, 359]"
IFEval_NOCHUNK,qwen4b,large,30,cosine,p90,1,[185]
IFEval_NOCHUNK,qwen4b,large,30,correlation,p20,1,[1]
GPQA_CHUNKED,qwen4b,large,10,correlation,p90,2,"[1, 343]"
Omni-MATH,bge,small,30,correlation,p20,1,[19]
GPQA_CHUNKED,qwen8b,large,20,correlation,p95,2,"[1, 343]"
MMLU-Pro,bge,small,10,cosine,p10,1,[22]
Omni-MATH_CHUNKED,qwen8b,large,20,euclidean,p20,1,[7]
IFEval_NOCHUNK,qwen8b,large,20,euclidean,p95,1,[19]
IFEval_CHUNKED,nemotron,large,20,euclidean,p20,1,[9]
Omni-MATH,gist,small,40,cosine,p90,9,"[789, 19, 925, 157, 553, 583, 111, 59, 652]"
IFEval_CHUNKED,nemotron,large,40,correlation,p50,1,[15]
IFEval_CHUNKED,nemotron,large,30,euclidean,p20,1,[9]
MMLU-Pro,gist,small,10,cosine,p95,52,"[602, 140, 506, 545, 709, 996, 798, 799, 651, 1, 274, 841, 458, 745, 900, 730, 342, 334, 643, 907, 927, 874, 492, 194, 464, 702, 667, 756, 670, 893, 660, 588, 655, 216, 433, 603, 401, 109, 375, 40, 43, 279, 564, 288, 966, 486, 254, 521, 346, 211, 423, 981]"
IFEval,e5,small,30,cosine,p50,1,[359]
IFEval,bge,small,50,cosine,p10,1,[109]
IFEval_CHUNKED,nemotron,large,10,cosine,p95,24,"[245, 530, 196, 407, 367, 393, 331, 342, 23, 93, 34, 257, 36, 250, 425, 186, 455, 180, 179, 510, 470, 481, 505, 100]"
MMLU-Pro,gist,small,40,correlation,p10,2,"[1, 798]"
GPQA_NOCHUNK,qwen8b,large,30,cosine,p50,1,[27]
GPQA_NOCHUNK,qwen8b,large,30,correlation,p50,1,[27]
GPQA_NOCHUNK,nemotron,large,40,cosine,p90,2,"[257, 412]"
GPQA_CHUNKED,qwen4b,large,40,cosine,p95,2,"[27, 177]"
GPQA_NOCHUNK,qwen4b,large,50,correlation,p20,1,[122]
GPQA_NOCHUNK,qwen8b,large,40,euclidean,p50,1,[27]
GPQA_CHUNKED,qwen8b,large,50,euclidean,p20,1,[20]
MMLU-Pro,bge,small,30,euclidean,p10,1,[22]
Omni-MATH_CHUNKED,nemotron,large,50,euclidean,p50,1,[32]
IFEval_NOCHUNK,nemotron,large,50,correlation,p95,14,"[109, 185, 312, 212, 424, 280, 459, 517, 316, 362, 349, 403, 78, 462]"
IFEval,e5,small,10,cosine,p20,1,[185]
Omni-MATH_NOCHUNK,nemotron,large,30,cosine,p80,1,[149]
IFEval_CHUNKED,nemotron,large,10,correlation,p20,1,[9]
MMLU-Pro,qwen8b,large,30,correlation,p80,2,"[2, 626]"
GPQA_NOCHUNK,qwen4b,large,10,cosine,p80,2,"[27, 343]"
IFEval_CHUNKED,nemotron,large,30,euclidean,p10,1,[5]
GPQA,gist,small,50,correlation,p20,2,"[2, 31]"
IFEval_CHUNKED,nemotron,large,40,cosine,p50,1,[15]
GPQA,e5,small,50,correlation,p10,1,[31]
MMLU-Pro,qwen8b,large,40,correlation,p80,2,"[2, 626]"
MMLU-Pro,qwen8b,large,20,cosine,p50,1,[829]
IFEval_NOCHUNK,qwen8b,large,10,euclidean,p95,1,[19]
Omni-MATH_CHUNKED,nemotron,large,50,cosine,p95,16,"[900, 568, 854, 352, 729, 2, 381, 456, 447, 962, 964, 859, 967, 562, 838, 314]"
Omni-MATH_CHUNKED,qwen8b,large,40,correlation,p10,1,[7]
IFEval_CHUNKED,qwen4b,large,50,euclidean,p80,1,[19]
IFEval_CHUNKED,qwen8b,large,40,correlation,p90,1,[19]
IFEval_NOCHUNK,nemotron,large,30,cosine,p95,14,"[109, 185, 312, 212, 424, 280, 459, 517, 316, 362, 349, 403, 462, 78]"
IFEval,e5,small,10,cosine,p80,2,"[151, 494]"
Omni-MATH,bge,small,30,euclidean,p80,2,"[3, 772]"
IFEval_CHUNKED,qwen4b,large,40,cosine,p90,1,[185]
GPQA_CHUNKED,qwen4b,large,40,euclidean,p20,1,[45]
IFEval_CHUNKED,qwen4b,large,30,euclidean,p10,1,[1]
Omni-MATH_NOCHUNK,qwen4b,large,20,correlation,p95,2,"[296, 648]"
Omni-MATH_CHUNKED,nemotron,large,20,cosine,p10,1,[19]
MMLU-Pro,bge,small,20,correlation,p10,1,[22]
Omni-MATH,bge,small,30,correlation,p50,2,"[1, 772]"
IFEval_NOCHUNK,nemotron,large,30,euclidean,p50,2,"[1, 109]"
MMLU-Pro,bge,small,50,cosine,p10,1,[22]
MMLU-Pro,qwen8b,large,10,correlation,p10,1,[9]
Omni-MATH_NOCHUNK,nemotron,large,30,cosine,p10,1,[10]
IFEval_NOCHUNK,nemotron,large,10,euclidean,p50,2,"[1, 109]"
GPQA,e5,small,20,cosine,p95,24,"[106, 289, 229, 424, 429, 351, 51, 244, 257, 31, 295, 18, 234, 340, 65, 444, 235, 365, 71, 160, 423, 145, 417, 407]"
IFEval,e5,small,20,correlation,p20,1,[185]
GPQA,bge,small,30,euclidean,p10,1,[17]
MMLU-Pro,qwen8b,large,50,euclidean,p50,1,[56]
IFEval_CHUNKED,qwen8b,large,30,correlation,p95,1,[185]
GPQA_NOCHUNK,qwen8b,large,50,euclidean,p80,1,[27]
IFEval_CHUNKED,qwen8b,large,10,correlation,p20,1,[1]
Omni-MATH_CHUNKED,nemotron,large,50,correlation,p10,1,[19]
GPQA_NOCHUNK,qwen8b,large,20,euclidean,p90,1,[201]
Omni-MATH_CHUNKED,nemotron,large,20,euclidean,p95,7,"[900, 961, 568, 29, 381, 962, 314]"
Omni-MATH,e5,small,10,cosine,p50,2,"[1, 657]"
GPQA_CHUNKED,qwen4b,large,40,euclidean,p80,2,"[193, 201]"
Omni-MATH,bge,small,50,euclidean,p80,2,"[3, 772]"
MMLU-Pro,qwen8b,large,10,correlation,p20,1,[276]
Omni-MATH_CHUNKED,qwen4b,large,20,cosine,p50,1,[149]
MMLU-Pro,nemotron,large,10,euclidean,p90,1,[739]
IFEval_CHUNKED,nemotron,large,30,cosine,p90,2,"[2, 245]"
GPQA_CHUNKED,qwen4b,large,10,euclidean,p90,2,"[4, 201]"
GPQA_NOCHUNK,qwen8b,large,10,euclidean,p95,2,"[1, 27]"
Omni-MATH_CHUNKED,nemotron,large,30,euclidean,p20,1,[32]
GPQA_CHUNKED,qwen4b,large,10,cosine,p95,2,"[27, 177]"
Omni-MATH_NOCHUNK,qwen4b,large,10,euclidean,p50,1,[71]
IFEval,e5,small,20,correlation,p90,2,"[10, 494]"
IFEval,e5,small,50,correlation,p90,2,"[10, 494]"
MMLU-Pro,e5,small,10,correlation,p80,2,"[71, 765]"
IFEval,e5,small,30,correlation,p10,1,[37]
Omni-MATH_CHUNKED,qwen4b,large,50,cosine,p90,2,"[24, 86]"
GPQA,e5,small,30,euclidean,p20,1,[424]
MMLU-Pro,qwen8b,large,20,cosine,p80,2,"[2, 626]"
Omni-MATH_NOCHUNK,qwen4b,large,50,cosine,p10,1,[7]
MMLU-Pro,bge,small,20,correlation,p20,1,[696]
Omni-MATH,gist,small,10,correlation,p20,2,"[1, 460]"
IFEval_NOCHUNK,nemotron,large,30,correlation,p20,1,[109]
MMLU-Pro,gist,small,30,euclidean,p10,2,"[1, 798]"
IFEval_CHUNKED,qwen4b,large,20,correlation,p20,1,[1]
Omni-MATH_NOCHUNK,nemotron,large,30,euclidean,p50,1,[46]
GPQA_NOCHUNK,qwen4b,large,50,correlation,p50,2,"[201, 301]"
GPQA_CHUNKED,nemotron,large,20,euclidean,p10,1,[15]
IFEval_NOCHUNK,qwen8b,large,10,cosine,p50,1,[19]
IFEval,bge,small,40,cosine,p10,1,[109]
IFEval_CHUNKED,nemotron,large,10,euclidean,p90,2,"[2, 215]"
IFEval_NOCHUNK,qwen4b,large,50,euclidean,p80,1,[19]
MMLU-Pro,gist,small,20,euclidean,p20,2,"[1, 798]"
MMLU-Pro,nemotron,large,10,cosine,p50,1,[8]
IFEval,gist,small,50,euclidean,p50,1,[359]
GPQA,bge,small,50,cosine,p10,1,[17]
Omni-MATH_CHUNKED,nemotron,large,40,cosine,p95,16,"[900, 568, 854, 352, 729, 2, 381, 456, 447, 962, 964, 859, 967, 562, 838, 314]"
IFEval_NOCHUNK,nemotron,large,40,correlation,p90,6,"[459, 316, 275, 517, 109, 185]"
GPQA_CHUNKED,nemotron,large,30,cosine,p95,1,[358]
MMLU-Pro,gist,small,50,correlation,p50,2,"[799, 423]"
IFEval_NOCHUNK,nemotron,large,50,euclidean,p80,2,"[6, 109]"
Omni-MATH,bge,small,30,euclidean,p50,2,"[1, 772]"
Omni-MATH_CHUNKED,qwen4b,large,10,cosine,p50,1,[149]
GPQA,gist,small,10,correlation,p50,2,"[11, 362]"
GPQA,gist,small,50,euclidean,p90,10,"[9, 31, 53, 87, 113, 379, 2033, 0, 355545344, 32512]"
GPQA,gist,small,50,cosine,p50,2,"[11, 362]"
GPQA_NOCHUNK,nemotron,large,20,euclidean,p10,1,[1]
GPQA,e5,small,20,cosine,p50,1,[429]
Omni-MATH_NOCHUNK,qwen8b,large,50,euclidean,p10,1,[7]
Omni-MATH_NOCHUNK,qwen4b,large,10,euclidean,p80,1,[149]
MMLU-Pro,gist,small,20,euclidean,p90,17,"[128, 140, 213, 260, 799, 486, 506, 602, 646, 874, 867, 867, 335, 352, 1425, 0, 1569190000]"
GPQA_CHUNKED,qwen4b,large,30,euclidean,p95,2,"[4, 343]"
MMLU-Pro,nemotron,large,20,cosine,p50,1,[8]
IFEval,e5,small,50,correlation,p10,1,[37]
GPQA,e5,small,50,euclidean,p80,3,"[93, 229, 429]"
Omni-MATH,e5,small,10,correlation,p20,1,[136]
GPQA_NOCHUNK,nemotron,large,20,correlation,p90,2,"[257, 412]"
Omni-MATH_NOCHUNK,qwen8b,large,20,euclidean,p50,1,[33]
GPQA_CHUNKED,nemotron,large,20,cosine,p20,1,[16]
IFEval_CHUNKED,qwen4b,large,10,cosine,p20,1,[1]
GPQA_NOCHUNK,qwen8b,large,40,correlation,p90,1,[27]
GPQA_NOCHUNK,qwen8b,large,40,correlation,p95,1,[343]
GPQA,gist,small,40,cosine,p10,1,[44]
GPQA,gist,small,50,euclidean,p50,2,"[102, 286]"
MMLU-Pro,bge,small,40,correlation,p20,1,[696]
MMLU-Pro,gist,small,40,euclidean,p95,47,"[140, 602, 924, 709, 545, 799, 486, 689, 342, 274, 408, 841, 745, 643, 46, 927, 635, 42, 447, 65, 260, 744, 109, 40, 603, 359, 588, 34, 92, 433, 375, 86, 451, 660, 756, 464, 279, 798, 867, 506, 367, 651, 33, 249, 282, 492, 335]"
IFEval,gist,small,30,cosine,p90,3,"[245, 311, 359]"
IFEval,gist,small,20,cosine,p80,2,"[20, 359]"
GPQA_CHUNKED,qwen4b,large,10,cosine,p20,1,[182]
Omni-MATH_CHUNKED,qwen4b,large,20,correlation,p50,1,[149]
IFEval,e5,small,20,correlation,p10,1,[37]
MMLU-Pro,gist,small,10,cosine,p20,2,"[1, 798]"
IFEval,bge,small,50,cosine,p20,1,[109]
MMLU-Pro,qwen4b,large,50,cosine,p95,38,"[464, 93, 709, 620, 536, 313, 481, 257, 197, 426, 487, 489, 541, 177, 692, 889, 179, 378, 17, 497, 760, 725, 66, 628, 152, 75, 41, 808, 614, 223, 779, 452, 875, 923, 732, 98, 920, 919]"
MMLU-Pro,qwen4b,large,10,euclidean,p10,1,[4]
IFEval,e5,small,10,cosine,p90,2,"[10, 494]"
MMLU-Pro,bge,small,10,correlation,p20,1,[696]
IFEval_NOCHUNK,qwen8b,large,20,cosine,p20,1,[1]
Omni-MATH_NOCHUNK,qwen4b,large,30,euclidean,p80,1,[149]
IFEval_NOCHUNK,nemotron,large,40,euclidean,p90,5,"[459, 109, 517, 185, 312]"
Omni-MATH_NOCHUNK,qwen8b,large,50,correlation,p95,2,"[1, 281]"
GPQA,e5,small,40,euclidean,p95,20,"[106, 289, 229, 429, 424, 351, 51, 257, 295, 18, 235, 234, 145, 417, 160, 340, 65, 365, 444, 31]"
IFEval_NOCHUNK,nemotron,large,50,cosine,p50,2,"[1, 109]"
Omni-MATH_NOCHUNK,nemotron,large,40,euclidean,p10,1,[10]
IFEval_NOCHUNK,nemotron,large,50,correlation,p50,2,"[1, 109]"
GPQA_NOCHUNK,qwen4b,large,40,correlation,p50,2,"[201, 301]"
IFEval_NOCHUNK,nemotron,large,20,cosine,p95,14,"[109, 185, 312, 212, 424, 280, 459, 517, 316, 362, 349, 403, 462, 78]"
Omni-MATH,bge,small,40,correlation,p90,3,"[134, 306, 772]"
Omni-MATH_NOCHUNK,qwen4b,large,20,euclidean,p10,1,[7]
GPQA_NOCHUNK,qwen8b,large,20,correlation,p80,1,[27]
IFEval_NOCHUNK,qwen8b,large,30,correlation,p10,1,[1]
GPQA_CHUNKED,qwen8b,large,40,correlation,p80,1,[27]
Omni-MATH_NOCHUNK,qwen4b,large,20,correlation,p80,2,"[15, 24]"
GPQA_CHUNKED,nemotron,large,20,correlation,p50,1,[244]
IFEval_NOCHUNK,qwen8b,large,10,cosine,p80,1,[19]
Omni-MATH_CHUNKED,qwen8b,large,50,cosine,p80,1,[281]
MMLU-Pro,qwen8b,large,50,correlation,p10,1,[9]
Omni-MATH_NOCHUNK,nemotron,large,20,cosine,p50,1,[46]
GPQA,gist,small,20,euclidean,p20,2,"[2, 31]"
IFEval_NOCHUNK,qwen8b,large,40,correlation,p20,1,[1]
MMLU-Pro,qwen8b,large,40,correlation,p20,1,[276]
Omni-MATH_NOCHUNK,qwen8b,large,50,cosine,p90,1,[281]
IFEval_NOCHUNK,nemotron,large,10,euclidean,p20,1,[109]
MMLU-Pro,qwen4b,large,30,euclidean,p95,2,"[13, 705]"
IFEval,bge,small,20,euclidean,p20,1,[109]
GPQA_NOCHUNK,qwen4b,large,30,correlation,p50,2,"[201, 301]"
IFEval_NOCHUNK,qwen8b,large,50,euclidean,p20,1,[1]
GPQA_NOCHUNK,qwen4b,large,50,euclidean,p95,2,"[4, 27]"
IFEval_NOCHUNK,qwen4b,large,30,cosine,p80,1,[185]
Omni-MATH_CHUNKED,nemotron,large,20,euclidean,p90,3,"[900, 568, 553]"
MMLU-Pro,gist,small,10,euclidean,p90,17,"[128, 140, 213, 260, 799, 486, 506, 602, 646, 874, 867, 867, 335, 352, 1425, 0, 828477328]"
IFEval_NOCHUNK,nemotron,large,30,cosine,p90,6,"[459, 316, 462, 517, 109, 185]"
IFEval_NOCHUNK,nemotron,large,30,euclidean,p10,1,[53]
GPQA_CHUNKED,qwen8b,large,20,cosine,p50,1,[27]
Omni-MATH,e5,small,30,cosine,p80,2,"[3, 187]"
IFEval_NOCHUNK,qwen4b,large,40,correlation,p20,1,[1]
GPQA_NOCHUNK,qwen4b,large,30,euclidean,p95,2,"[4, 27]"
MMLU-Pro,qwen4b,large,20,correlation,p95,40,"[464, 93, 709, 620, 487, 197, 452, 489, 481, 152, 497, 541, 536, 378, 313, 875, 66, 808, 41, 75, 889, 893, 779, 78, 760, 179, 177, 223, 732, 725, 919, 920, 923, 98, 692, 257, 17, 628, 426, 614]"
IFEval_CHUNKED,nemotron,large,50,euclidean,p10,1,[5]
GPQA_CHUNKED,nemotron,large,10,correlation,p80,1,[358]
Omni-MATH_CHUNKED,qwen4b,large,30,euclidean,p80,1,[149]
GPQA_NOCHUNK,nemotron,large,40,euclidean,p20,1,[1]
GPQA,gist,small,10,correlation,p10,1,[44]
GPQA,e5,small,10,correlation,p10,1,[31]
GPQA_NOCHUNK,nemotron,large,50,cosine,p80,2,"[1, 257]"
GPQA_NOCHUNK,qwen4b,large,20,correlation,p10,1,[27]
IFEval_CHUNKED,qwen4b,large,40,euclidean,p95,2,"[7, 227]"
IFEval,e5,small,20,correlation,p50,1,[359]
MMLU-Pro,qwen8b,large,40,cosine,p80,2,"[2, 626]"
Omni-MATH_CHUNKED,nemotron,large,20,cosine,p80,2,"[900, 854]"
IFEval_CHUNKED,qwen4b,large,40,cosine,p50,1,[19]
Omni-MATH_CHUNKED,qwen4b,large,10,cosine,p20,1,[7]
IFEval_NOCHUNK,qwen8b,large,40,euclidean,p20,1,[1]
MMLU-Pro,qwen4b,large,30,correlation,p80,2,"[8, 829]"
Omni-MATH_NOCHUNK,qwen4b,large,40,cosine,p90,2,"[24, 86]"
IFEval_NOCHUNK,qwen8b,large,30,euclidean,p90,1,[19]
GPQA_NOCHUNK,nemotron,large,50,euclidean,p95,20,"[257, 343, 1, 412, 333, 435, 425, 98, 402, 324, 42, 114, 15, 163, 308, 398, 251, 278, 290, 196]"
Omni-MATH_CHUNKED,nemotron,large,50,correlation,p20,1,[32]
MMLU-Pro,nemotron,large,30,euclidean,p20,1,[8]
IFEval,bge,small,20,euclidean,p50,1,[359]
Omni-MATH,gist,small,20,cosine,p20,2,"[1, 460]"
MMLU-Pro,nemotron,large,20,euclidean,p50,1,[8]
GPQA_NOCHUNK,qwen4b,large,30,correlation,p20,1,[122]
Omni-MATH_CHUNKED,nemotron,large,40,cosine,p10,1,[19]
GPQA_CHUNKED,qwen8b,large,10,euclidean,p80,1,[27]
GPQA_NOCHUNK,qwen8b,large,40,cosine,p10,1,[27]
IFEval_CHUNKED,qwen8b,large,50,cosine,p20,1,[1]
IFEval,gist,small,40,cosine,p20,1,[245]
Omni-MATH_CHUNKED,nemotron,large,10,correlation,p10,1,[19]
IFEval_CHUNKED,nemotron,large,10,cosine,p20,1,[9]
IFEval_CHUNKED,nemotron,large,10,euclidean,p95,14,"[245, 530, 196, 34, 425, 331, 23, 36, 180, 250, 407, 122, 510, 470]"
MMLU-Pro,bge,small,20,euclidean,p10,1,[22]
IFEval_NOCHUNK,nemotron,large,10,cosine,p50,2,"[1, 109]"
Omni-MATH,e5,small,30,euclidean,p90,3,"[187, 895, 904]"
Omni-MATH_CHUNKED,nemotron,large,30,correlation,p10,1,[19]
GPQA_CHUNKED,nemotron,large,40,correlation,p50,1,[244]
Omni-MATH_CHUNKED,nemotron,large,50,correlation,p95,16,"[900, 568, 854, 352, 729, 2, 314, 962, 964, 562, 838, 967, 381, 859, 456, 447]"
Omni-MATH_NOCHUNK,qwen8b,large,10,correlation,p80,1,[281]
Omni-MATH_CHUNKED,nemotron,large,10,euclidean,p95,7,"[900, 961, 568, 29, 381, 962, 314]"
IFEval,e5,small,50,cosine,p80,2,"[151, 494]"
GPQA_CHUNKED,qwen8b,large,20,cosine,p20,1,[27]
GPQA,bge,small,50,cosine,p90,10,"[286, 443, 289, 41, 370, 228, 56, 268, 31, 143]"
GPQA,bge,small,40,cosine,p95,37,"[286, 56, 443, 268, 95, 384, 44, 289, 244, 127, 153, 228, 55, 420, 298, 37, 216, 291, 307, 167, 370, 277, 433, 41, 329, 427, 58, 60, 122, 417, 264, 79, 99, 176, 97, 94, 408]"
Omni-MATH,gist,small,20,euclidean,p80,3,"[295, 583, 773]"
MMLU-Pro,nemotron,large,50,euclidean,p95,2,"[96, 739]"
Omni-MATH,bge,small,40,correlation,p20,1,[19]
IFEval_CHUNKED,nemotron,large,50,cosine,p50,1,[15]
IFEval_CHUNKED,nemotron,large,50,correlation,p95,24,"[245, 530, 196, 407, 367, 393, 331, 342, 23, 93, 34, 257, 36, 250, 425, 186, 455, 180, 179, 510, 470, 481, 505, 100]"
MMLU-Pro,gist,small,40,correlation,p20,2,"[1, 798]"
IFEval_CHUNKED,nemotron,large,40,cosine,p80,1,[245]
MMLU-Pro,bge,small,50,correlation,p10,1,[22]
Omni-MATH_CHUNKED,qwen4b,large,20,euclidean,p80,1,[149]
MMLU-Pro,qwen4b,large,50,correlation,p95,40,"[464, 93, 709, 620, 487, 197, 452, 489, 481, 152, 497, 541, 536, 378, 313, 875, 66, 808, 41, 75, 889, 893, 779, 78, 760, 179, 177, 223, 732, 725, 919, 920, 923, 98, 692, 257, 17, 628, 426, 614]"
GPQA_CHUNKED,qwen8b,large,10,correlation,p10,1,[27]
Omni-MATH,gist,small,10,cosine,p80,4,"[19, 610, 773, 921]"
IFEval_NOCHUNK,qwen4b,large,50,euclidean,p95,2,"[7, 227]"
IFEval_NOCHUNK,qwen4b,large,30,euclidean,p10,1,[1]
Omni-MATH,gist,small,10,cosine,p90,9,"[790, 19, 295, 157, 427, 583, 860, 297, 652]"
GPQA,bge,small,10,cosine,p95,37,"[286, 56, 443, 268, 95, 384, 44, 289, 244, 127, 153, 228, 55, 420, 298, 37, 216, 291, 307, 167, 370, 277, 433, 41, 329, 427, 58, 60, 122, 417, 264, 79, 99, 176, 97, 94, 408]"
MMLU-Pro,e5,small,50,cosine,p80,2,"[71, 765]"
Omni-MATH,bge,small,20,correlation,p80,2,"[12, 772]"
GPQA,gist,small,10,cosine,p50,2,"[11, 362]"
GPQA,e5,small,40,cosine,p50,1,[429]
IFEval,gist,small,40,euclidean,p10,1,[69]
GPQA_CHUNKED,nemotron,large,30,correlation,p80,1,[358]
IFEval_NOCHUNK,qwen8b,large,30,correlation,p90,1,[185]
Omni-MATH_CHUNKED,qwen8b,large,40,euclidean,p50,1,[33]
IFEval,e5,small,30,euclidean,p10,1,[37]
IFEval,e5,small,30,cosine,p80,2,"[151, 494]"
MMLU-Pro,qwen8b,large,40,cosine,p10,1,[9]
Omni-MATH,gist,small,10,cosine,p10,1,[696]
Omni-MATH_NOCHUNK,nemotron,large,50,cosine,p90,1,[906]
IFEval,e5,small,30,correlation,p50,1,[359]
